invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,category_code,category_name,,month
INV-53698700007,6/12/2022,5710,CASEY'S #3763 -WAVERLY,1032 4TH STREET SW,WAVERLY,50677,POINT(-92.47551 42.71557),,BREMER,65,JIM BEAM BRANDS,28275,JIM BEAM PEACH MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,122022
INV-25321800029,19/02/2020,4810,KUM & GO #518 / ANKENY,3603 NE OTTERVIEW CIRCLE,ANKENY,50021,POINT(-93.572458 41.760989),77,POLK,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-25093400022,7/02/2020,3728,BREWSKI'S BEVERAGE,726 CREEK TOP,COUNCIL BLUFFS,51503,POINT(-95.854809 41.262316),78,POTTAWATTAMIE,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-25199500036,12/02/2020,2565,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,POINT(-95.14506 43.145897),21,CLAY,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-25321300015,19/02/2020,4397,QUIK TRIP #514 / ANKENY,802 E 1ST ST,ANKENY,50021,POINT(-93.586368 41.731862),77,POLK,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-25422800050,24/02/2020,4945,OSAGE LIQUORS,"508, MAIN ST",OSAGE,50461,POINT(-92.814028 43.284116),66,MITCHELL,65,JIM BEAM BRANDS,27408,JIM BEAM HONEY MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-25148600102,11/02/2020,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,POINT(-92.475403 42.712263),9,BREMER,65,JIM BEAM BRANDS,27780,JIM BEAM APPLE MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-25314400030,18/02/2020,4819,SUPER STOP 2 / ALTOONA,2635 ADVENTURELAND DR,ALTOONA,50009,POINT(-93.494642 41.65854),77,POLK,65,JIM BEAM BRANDS,27780,JIM BEAM APPLE MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-25524400031,28/02/2020,2656,HY-VEE FOOD STORE / CORNING,300  10TH ST,CORNING,50841,POINT(-94.731809 40.991861),2,ADAMS,65,JIM BEAM BRANDS,28275,JIM BEAM PEACH MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22020
INV-67478400006,20/02/2024,4138,FAREWAY STORES #657 / INDIANOLA,1309 W 2ND,INDIANOLA,50125,POINT(-93.579486009 41.355785016),,WARREN,830,KIRIN BEER & SPIRITS OF AMERICA INC / FOUR ROSES DISTILLERY,18347,FOUR ROSES SMALL BATCH MINI,5,50,29.85,44.78,1,44.78,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22024
